logical_fallacies,label,articles,Claim,Implication,Referring Expressions - Claim,Referring Expressions - Implication,Property Implications,Equal Entities,Subset Entities,Claim Lfs,Implication Lfs,Logical Form,Logical Form 2
fallacy of credibility,0,"Howard Browman , a marine scientist for 35 years , has published a review in the ICES Journal of Marine Science of all the papers published on the subject . His verdict could hardly be more damning . The methodology used by the studies was often flawed ; contrary studies suggesting that ocean acidification wasn ’ t a threat had sometimes had difficulty finding a publisher .", Howard Browman published a review in the ICES Journal of Marine Science., Ocean acidification isn't a threat.,"Published(b, c)",IsNotThreatening(d),[],[],[],"Published(b, c)",IsNotThreatening(d),"(Published(b, c)) -> (IsNotThreatening(d))","(exists c (exists b (Published(b, c)))) -> (exists d (IsNotThreatening(d)))"
intentional,0,"In June last year , a severe heatwave claimed over 1,000 lives in Karachi , Pakistan . Severe drought caused food shortages for millions of people in Ethiopia , with a lack of rainfall resulting in “ intense and widespread ” forest fires in Indonesia that belched out a vast quantity of greenhouse gas ."," A severe heatwave claimed over 1,000 lives in Karachi, Pakistan, in June last year. Severe drought caused food shortages for millions of people in Ethiopia. Lack of rainfall resulted in intense and widespread forest fires in Indonesia that emitted a vast quantity of greenhouse gas.", Climate change has devastating impacts on human lives and the environment.,"ClaimedLives(b, a),  OccurredIn(b, c),  OccurredIn(b, d),  OccurredIn(b, e),  CausedFoodShortages(f, g),  AffectedPeople(g, h),  OccurredIn(f, i),  ResultedIn(j, k),  OccurredIn(k, l),  Emitted(k, m)","HasDevastatingImpactsOn(n, a),  HasDevastatingImpactsOn(n, o)",[],"[(' human lives', ' lives')]","[(' Heatwave', ' Climate change'), (' drought', ' Climate change'), (' millions of people', ' human lives'), (' forest fires', ' the environment')]","(ClaimedLives(b, a) and OccurredIn(b, c) and OccurredIn(b, d) and OccurredIn(b, e)) and (CausedFoodShortages(f, g) and AffectedPeople(g, h) and OccurredIn(f, i)) and (ResultedIn(j, k) and OccurredIn(k, l) and Emitted(k, m))","HasDevastatingImpactsOn(n, a) and HasDevastatingImpactsOn(n, o)","(exists k (exists h (exists f (exists b ((ClaimedLives(b, a) and OccurredIn(b, c) and OccurredIn(b, d) and OccurredIn(b, e)) and (CausedFoodShortages(f, g) and AffectedPeople(g, h) and OccurredIn(f, i)) and (ResultedIn(j, k) and OccurredIn(k, l) and Emitted(k, m))))))) -> (forall o (forall a (forall n (HasDevastatingImpactsOn(n, a) and HasDevastatingImpactsOn(n, o)))))","(exists a (exists i (exists d (exists g (exists m (exists k (exists f (exists h (exists j (exists b (exists l (exists c (exists e ((ClaimedLives(b, a) and OccurredIn(b, c) and OccurredIn(b, d) and OccurredIn(b, e)) and (CausedFoodShortages(f, g) and AffectedPeople(g, h) and OccurredIn(f, i)) and (ResultedIn(j, k) and OccurredIn(k, l) and Emitted(k, m)))))))))))))))) -> (exists a (exists o (exists n (HasDevastatingImpactsOn(n, a) and HasDevastatingImpactsOn(n, o)))))"
intentional,0,The rate of sea-level rise has not accelerated ., The rate of sea-level rise has not accelerated.  , The rate of sea-level rise is constant.,HasNotAccelerated(a),IsConstant(a),[],"[(' The rate of sea-level rise', ' Rate of sea-level rise')]",[],HasNotAccelerated(a),IsConstant(a),(HasNotAccelerated(a)) -> (IsConstant(a)),(exists a (HasNotAccelerated(a))) -> (exists a (IsConstant(a)))
false dilemma,0,Just because we are alive today does not mean we change major planetary systems that operated for billions of years ., We are alive today.  , We do not change major planetary systems that operated for billions of years.,IsAlive(a),OperateForBillionsOfYears(c),[],[],[],IsAlive(a),~Change(c) and OperateForBillionsOfYears(c),(IsAlive(a)) -> (~Change(c) and OperateForBillionsOfYears(c)),(exists a (IsAlive(a))) -> (exists c (~Change(c) and OperateForBillionsOfYears(c)))
appeal to emotion,0,," ""Dinosaurs are scary creatures with sharp teeth and long claws."""," ""Dinosaurs would have eaten me if I lived in the past.""","IsScary(a),  HasSharpTeeth(a),  HasLongClaws(a)","WouldHaveEaten(a, d),  LivesInPast(e)",[],"[(' Dinosaurs', ' Dinosaurs')]",[],IsScary(a) and HasSharpTeeth(a) and HasLongClaws(a),"LivesInPast(e) and WouldHaveEaten(a, d)","(IsScary(a) and HasSharpTeeth(a) and HasLongClaws(a)) -> (LivesInPast(e) and WouldHaveEaten(a, d))","(exists a (IsScary(a) and HasSharpTeeth(a) and HasLongClaws(a))) -> (exists a (exists e (exists d (LivesInPast(e) and WouldHaveEaten(a, d)))))"
fallacy of credibility,0,"“ The predictions of what ’ s going to happen over the next 20 , 30 , 40 years — it ’ s real , ” said Mr. Tuckman , the founder of a company offering creative services to the retail industry ."," ""The predictions of what’s going to happen over the next 20, 30, 40 years are real."""," ""The predictions of what’s going to happen over the next 20, 30, 40 years will come true.""",AreReal(a),WillComeTrue(a),[],"[(' The predictions', ' The predictions'), (' 30', ' 30'), (' 40 years', ' 40 years')]",[],AreReal(a),WillComeTrue(a),(AreReal(a)) -> (WillComeTrue(a)),(exists a (AreReal(a))) -> (exists a (WillComeTrue(a)))
fallacy of relevance,0,"In the past decade China has increased its carbon dioxide emissions by 53 per cent , 12 times Australia ’ s total carbon dioxide output of 1.3 per cent of the global total .", China has increased its carbon dioxide emissions by 53 percent in the past decade.  , China's carbon dioxide emissions are much larger than Australia's.,"HasIncreasedCO2Emissions(a),  By53Percent(b),  InPastDecade(b)","AreLargerThan(d, e)",[],[],"[(' its carbon dioxide emissions', "" China's carbon dioxide emissions"")]",HasIncreasedCO2Emissions(a) and By53Percent(b) and InPastDecade(b),"AreLargerThan(d, e)","(exists b (HasIncreasedCO2Emissions(a) and By53Percent(b) and InPastDecade(b))) -> (forall d (AreLargerThan(d, e)))","(exists a (exists b (HasIncreasedCO2Emissions(a) and By53Percent(b) and InPastDecade(b)))) -> (exists e (exists d (AreLargerThan(d, e))))"
appeal to emotion,0,"At six feet , though , around 12 million people in the United States would be displaced , and the world ’ s most vulnerable megacities , like Shanghai , Mumbai , and Ho Chi Minh City , could be wiped off the map ."," At six feet of sea level rise, the world's most vulnerable megacities like Shanghai, Mumbai, and Ho Chi Minh City could be wiped off the map.  ", Six feet of sea level rise would cause significant displacement and destruction.,"IsAtSixFeetOfSeaLevelRise(a),  IsMostVulnerableMegacity(b),  IsPartOf(c, b),  IsPartOf(d, b),  IsPartOf(e, b),  CanBeWipedOffTheMap(c),  CanBeWipedOffTheMap(d),  CanBeWipedOffTheMap(e)","IsAtSixFeetOfSeaLevelRise(f),  CanCauseSignificantDisplacement(f),  CanCauseDestruction(f)",[],[],"[(' Sea level rise', ' Six feet of sea level rise')]","IsAtSixFeetOfSeaLevelRise(a) and IsMostVulnerableMegacity(b) and IsPartOf(c, b) and IsPartOf(d, b) and IsPartOf(e, b) and (CanBeWipedOffTheMap(c) and CanBeWipedOffTheMap(d) and CanBeWipedOffTheMap(e))",IsAtSixFeetOfSeaLevelRise(f) and (CanCauseSignificantDisplacement(f) and CanCauseDestruction(f)),"(exists a (IsAtSixFeetOfSeaLevelRise(a) and IsMostVulnerableMegacity(b) and IsPartOf(c, b) and IsPartOf(d, b) and IsPartOf(e, b) and (CanBeWipedOffTheMap(c) and CanBeWipedOffTheMap(d) and CanBeWipedOffTheMap(e)))) -> (forall f (IsAtSixFeetOfSeaLevelRise(f) and (CanCauseSignificantDisplacement(f) and CanCauseDestruction(f))))","(exists a (exists d (exists b (exists c (exists e (IsAtSixFeetOfSeaLevelRise(a) and IsMostVulnerableMegacity(b) and IsPartOf(c, b) and IsPartOf(d, b) and IsPartOf(e, b) and (CanBeWipedOffTheMap(c) and CanBeWipedOffTheMap(d) and CanBeWipedOffTheMap(e)))))))) -> (exists f (IsAtSixFeetOfSeaLevelRise(f) and (CanCauseSignificantDisplacement(f) and CanCauseDestruction(f))))"
appeal to emotion,0,And then you get scared ., You get scared.  , Something makes you scared.,IsScared(a),"MakesScared(b, a)",[],"[(' You', ' you')]",[],IsScared(a),"MakesScared(b, a)","(IsScared(a)) -> (MakesScared(b, a))","(exists a (IsScared(a))) -> (exists a (exists b (MakesScared(b, a))))"
fallacy of credibility,0,"Extreme melting and changes to the climate may have released pressure on to the continent , allowing the ground to rise up , a Nature report claims ."," Extreme melting and changes to the climate have released pressure on the continent, allowing the ground to rise up.", The ground is rising up.,"ReleasePressure(b,d),  ReleasePressure(c,d),  Rises(a)",Rises(a),[],"[(' the ground', ' The ground')]",[],"(ReleasePressure(b,d) and ReleasePressure(c,d)) and Rises(a)",Rises(a),"((ReleasePressure(b,d) and ReleasePressure(c,d)) and Rises(a)) -> (Rises(a))","(exists c (exists d (exists a (exists b ((ReleasePressure(b,d) and ReleasePressure(c,d)) and Rises(a)))))) -> (exists a (Rises(a)))"
appeal to emotion,0,Australia ’ s symbolic suicidal climate policy just makes everybody poorer ., Australia's climate policy is symbolic and suicidal.  , Australia's climate policy makes everybody poorer.,"IsSymbolic(a),  IsSuicidal(a)","MakesPoorer(a,b)",[],"[("" Australia's climate policy"", "" Australia's climate policy"")]",[],IsSymbolic(a) and IsSuicidal(a),"MakesPoorer(a,b)","(IsSymbolic(a) and IsSuicidal(a)) -> (MakesPoorer(a,b))","(exists a (IsSymbolic(a) and IsSuicidal(a))) -> (exists a (exists b (MakesPoorer(a,b))))"
fallacy of relevance,0,"As the BBC reported in May , scientists suspect smallpox and the bubonic plague are trapped in Siberian ice , too — an abridged history of devastating human sickness , left out like egg salad in the Arctic sun .", Smallpox and the bubonic plague are trapped in Siberian ice., There is a risk of devastating human sickness from diseases trapped in Siberian ice.,"IsTrappedIn(b, a),  IsTrappedIn(c, a)","IsRiskOf(d, e),  IsFrom(e, f),  IsTrappedIn(f, a)",[],"[(' Siberian ice', ' Siberian ice')]","[(' Smallpox', ' human sickness'), (' Smallpox', ' diseases'), (' the bubonic plague', ' human sickness'), (' the bubonic plague', ' diseases')]","IsTrappedIn(b, a) and IsTrappedIn(c, a)","IsRiskOf(d, e) and IsFrom(e, f) and IsTrappedIn(f, a)","(exists c (exists b (IsTrappedIn(b, a) and IsTrappedIn(c, a)))) -> (forall f (forall e (IsRiskOf(d, e) and IsFrom(e, f) and IsTrappedIn(f, a))))","(exists a (exists c (exists b (IsTrappedIn(b, a) and IsTrappedIn(c, a))))) -> (exists a (exists e (exists f (exists d (IsRiskOf(d, e) and IsFrom(e, f) and IsTrappedIn(f, a))))))"
ad hominem,0,,,,,,[],[],[],,,() -> (),() -> ()
false dilemma,0,"The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922 . The record high temperature for the United States was 134 degrees Fahrenheit in Death Valley , California in 1913 . Fossil fuel emissions in 1913 and 1922 were negligible compared to today ."," The highest record temperature ever reported was 136 degrees Fahrenheit in Libya in 1922, and the record high temperature for the United States was 134 degrees Fahrenheit in Death Valley, California in 1913. Fossil fuel emissions in 1913 and 1922 were negligible compared to today.", High temperatures occurred with negligible fossil fuel emissions.,"NegligibleIn1913And1922(a),  ComparedToToday(a)",OccurWithNegligibleEmissions(h),[],"[(' Fossil fuel emissions', ' fossil fuel emissions')]","[(' The highest record temperature', ' High temperatures')]",NegligibleIn1913And1922(a) and ComparedToToday(a),OccurWithNegligibleEmissions(h),(NegligibleIn1913And1922(a) and ComparedToToday(a)) -> (OccurWithNegligibleEmissions(h)),(exists a (NegligibleIn1913And1922(a) and ComparedToToday(a))) -> (exists h (OccurWithNegligibleEmissions(h)))
fallacy of relevance,0,"Without carbon dioxide , there would be no complex life on earth .", There would be no complex life on Earth without carbon dioxide.  , Carbon dioxide is necessary for complex life on Earth.,"ExistsOn(a, a),  Requires(b, a)","ExistsOn(a, a),  IsNecessaryFor(b, a)",[],"[(' Complex life', ' complex life'), (' complex life', ' Earth'), (' Earth', ' Earth'), (' carbon dioxide', ' Carbon dioxide')]",[],"Requires(b, a) and ExistsOn(a, a)","ExistsOn(a, a) and IsNecessaryFor(b, a)","(Requires(b, a) and ExistsOn(a, a)) -> (ExistsOn(a, a) and IsNecessaryFor(b, a))","(exists a (exists b (Requires(b, a) and ExistsOn(a, a)))) -> (exists a (exists b (ExistsOn(a, a) and IsNecessaryFor(b, a))))"
intentional,0,"News flash , Mr. President : Alaska has been buffeted by cyclical swings in climate for thousands of years . That ’ s true for the rest of the world , too . There was a 300-year-long Medieval heat wave , followed by a Little Ice Age that began around 1300 , and then the 300-year warming period we ’ re in now .", Alaska has experienced cyclical swings in climate for thousands of years and the rest of the world has too., Current warming period is part of historical climate cycles.,"HasExperienced(b, c),  HasSwings(c, a),  ForThousandsOfYears(c, d),  HasExperienced(e, c)","IsPartOf(f, a)",[],"[(' historical climate cycles', ' climate')]","[(' cyclical swings', ' historical climate cycles'), (' thousands of years', ' historical climate cycles')]","HasExperienced(b, c) and HasSwings(c, a) and ForThousandsOfYears(c, d) and HasExperienced(e, c)","IsPartOf(f, a)","(exists d (exists c (HasExperienced(b, c) and HasSwings(c, a) and ForThousandsOfYears(c, d) and HasExperienced(e, c)))) -> (forall a (IsPartOf(f, a)))","(exists a (exists d (exists b (exists c (exists e (HasExperienced(b, c) and HasSwings(c, a) and ForThousandsOfYears(c, d) and HasExperienced(e, c))))))) -> (exists a (exists f (IsPartOf(f, a))))"
fallacy of relevance,0,"Brazil , the world ’ s largest exporter of red meat , holds around 212 million cattle . ( In June , the U.S. temporarily suspended imports of beef from Brazil due to abscesses , collections of pus , in the meat . )", Brazil is the world's largest exporter of red meat and holds around 212 million cattle., Brazil's beef has quality issues.,"IsWorldsLargestExporterOfRedMeat(a),  Holds(a, c)",HasQualityIssues(d),[],[],"[(' Brazil', "" Brazil's beef"")]","IsWorldsLargestExporterOfRedMeat(a) and Holds(a, c)",HasQualityIssues(d),"(exists a (IsWorldsLargestExporterOfRedMeat(a) and Holds(a, c))) -> (forall d (HasQualityIssues(d)))","(exists a (exists c (IsWorldsLargestExporterOfRedMeat(a) and Holds(a, c)))) -> (exists d (HasQualityIssues(d)))"
equivocation,0,"Those eruptions meant there was more subsequent warming in the following years , making the rate of warming appear to be rising as a result of man-made emissions or other factors , Christy said .", Eruptions caused more subsequent warming in the following years., The rate of warming is rising as a result of man-made emissions or other factors.,"Caused(a, b),  OccurIn(c)","IsRising(d),  IsResultOf(d, e),  IsResultOf(d, f)",[],[],[],"Caused(a, b) and OccurIn(c)","IsRising(d) and (IsResultOf(d, e) or IsResultOf(d, f))","(Caused(a, b) and OccurIn(c)) -> (IsRising(d) and (IsResultOf(d, e) or IsResultOf(d, f)))","(exists a (exists c (exists b (Caused(a, b) and OccurIn(c))))) -> (exists e (exists f (exists d (IsRising(d) and (IsResultOf(d, e) or IsResultOf(d, f))))))"
false dilemma,0,"If global warming is “ real , ”
both sides of the debate seem to assume , the climate lobby ’ s policy agenda follows
inexorably .", There is a debate over global warming., The climate lobby’s policy agenda follows global warming.,"IsOver(b, a)","Follows(c, a)",[],"[(' global warming', ' global warming')]",[],"IsOver(b, a)","Follows(c, a)","(IsOver(b, a)) -> (Follows(c, a))","(exists a (exists b (IsOver(b, a)))) -> (exists c (exists a (Follows(c, a))))"
appeal to emotion,0,"He said that he and his students cried when he showed them maps of the damage , which he had calculated in part by flying low in small planes and helicopters ."," ""He and his students cried when he showed them maps of the damage."""," ""He calculated the damage by flying low in small planes and helicopters.""","Cried(a),  Cried(c),  Showed(a, c, d),  MapsOfDamage(d, b)","Calculated(a, b),  FlewLowInPlanes(a, e),  FlewLowInHelicopters(a, f)",[],"[(' He', ' He'), (' the damage', ' damage')]",[],"Cried(a) and Cried(c) and Showed(a, c, d) and MapsOfDamage(d, b)","Calculated(a, b) and FlewLowInPlanes(a, e) and FlewLowInHelicopters(a, f)","(Cried(a) and Cried(c) and Showed(a, c, d) and MapsOfDamage(d, b)) -> (Calculated(a, b) and FlewLowInPlanes(a, e) and FlewLowInHelicopters(a, f))","(exists a (exists b (exists c (exists d (Cried(a) and Cried(c) and Showed(a, c, d) and MapsOfDamage(d, b)))))) -> (exists a (exists e (exists f (exists b (Calculated(a, b) and FlewLowInPlanes(a, e) and FlewLowInHelicopters(a, f))))))"
intentional,0,"On our current trajectory , the report warns , “ planetary and human systems [ are ] reaching a ‘ point of no return ’ by mid-century , in which the prospect of a largely uninhabitable Earth leads to the breakdown of nations and the international order . ”", Planetary and human systems are reaching a point of no return by mid-century.," The Earth will become largely uninhabitable, leading to the breakdown of nations and the international order.","AreReaching(a, b)","BecomeUninhabitable(d),  LeadsToBreakdown(e),  LeadsToBreakdown(f)",[],[],"[(' Planetary and human systems', ' The Earth')]","AreReaching(a, b)",BecomeUninhabitable(d) and (LeadsToBreakdown(e) and LeadsToBreakdown(f)),"(exists a (AreReaching(a, b))) -> (forall d (BecomeUninhabitable(d) and (LeadsToBreakdown(e) and LeadsToBreakdown(f))))","(exists a (exists b (AreReaching(a, b)))) -> (exists e (exists f (exists d (BecomeUninhabitable(d) and (LeadsToBreakdown(e) and LeadsToBreakdown(f))))))"
faulty generalization,0,A harrowing scenario analysis of how human civilization might collapse in coming decades due to climate change has been endorsed by a former Australian defense chief and senior royal navy commander ., A former Australian defense chief and senior royal navy commander endorsed a scenario analysis of human civilization collapsing due to climate change.  , Human civilization might collapse in coming decades due to climate change.,"EndorsedScenarioAnalysis(c, e),  EndorsedScenarioAnalysis(d, e),  CollapsesDueTo(a, b)","MightCollapseIn(a, f),  CollapseDueTo(a, b)",[],"[(' human civilization', ' Human civilization'), (' climate change', ' climate change')]",[],"EndorsedScenarioAnalysis(c, e) and EndorsedScenarioAnalysis(d, e) and CollapsesDueTo(a, b)","MightCollapseIn(a, f) and CollapseDueTo(a, b)","(EndorsedScenarioAnalysis(c, e) and EndorsedScenarioAnalysis(d, e) and CollapsesDueTo(a, b)) -> (MightCollapseIn(a, f) and CollapseDueTo(a, b))","(exists a (exists d (exists b (exists c (exists e (EndorsedScenarioAnalysis(c, e) and EndorsedScenarioAnalysis(d, e) and CollapsesDueTo(a, b))))))) -> (exists a (exists f (exists b (MightCollapseIn(a, f) and CollapseDueTo(a, b)))))"
fallacy of extension,0,Alarmist attempts to frame thriving forests as harmful perfectly illustrate the alarmists ’ proclivity to claim anything and everything – no matter how beneficial – is severely harmful and caused by global warming .," Alarmist attempts to frame thriving forests as harmful illustrate the alarmists' tendency to claim anything, no matter how beneficial, is harmful and caused by global warming.", Global warming causes thriving forests to be harmful.,"Thrives(a),  IsHarmful(a),  ClaimsHarmful(d),  IsCausedByGlobalWarming(b)","Thrives(a),  IsHarmful(a),  IsCausedByGlobalWarming(b)",[],"[(' thriving forests', ' thriving forests'), (' global warming.', ' Global warming')]",[],Thrives(a) and IsHarmful(a) and ClaimsHarmful(d) and IsCausedByGlobalWarming(b),Thrives(a) and IsCausedByGlobalWarming(b) and IsHarmful(a),(Thrives(a) and IsHarmful(a) and ClaimsHarmful(d) and IsCausedByGlobalWarming(b)) -> (Thrives(a) and IsCausedByGlobalWarming(b) and IsHarmful(a)),(exists a (exists d (exists b (Thrives(a) and IsHarmful(a) and ClaimsHarmful(d) and IsCausedByGlobalWarming(b))))) -> (exists a (exists b (Thrives(a) and IsCausedByGlobalWarming(b) and IsHarmful(a))))
ad populum,0,"The Chinese “ airpocalypse ” of 2013 peaked at what would have been an Air Quality Index of over 800 . That year , smog was responsible for a third of all deaths in the country .", The smog in China in 2013 was responsible for a third of all deaths in the country.  , The air quality in China in 2013 was extremely poor.,"IsResponsibleFor(c, d),  IsIn(c, a),  OccurredIn(b, c),  IsIn(d, e)","IsIn(f, a),  OccurredIn(b, f),  IsExtremelyPoor(f)",[],"[(' China', ' China'), (' 2013', ' 2013')]","[(' The smog', ' The air quality')]","IsResponsibleFor(c, d) and IsIn(c, a) and OccurredIn(b, c) and IsIn(d, e)","IsIn(f, a) and OccurredIn(b, f) and IsExtremelyPoor(f)","(exists c (IsResponsibleFor(c, d) and IsIn(c, a) and OccurredIn(b, c) and IsIn(d, e))) -> (forall f (IsIn(f, a) and OccurredIn(b, f) and IsExtremelyPoor(f)))","(exists a (exists d (exists b (exists c (exists e (IsResponsibleFor(c, d) and IsIn(c, a) and OccurredIn(b, c) and IsIn(d, e))))))) -> (exists a (exists f (exists b (IsIn(f, a) and OccurredIn(b, f) and IsExtremelyPoor(f)))))"
ad hominem,0,"Update Jan. 25 , 2016 : As I predicted in this article , global warming activists have indeed made a full-blown public relations effort to claim 2015 was the warmest year on record .", Global warming activists claim 2015 was the warmest year on record.  , The writer predicted a public relations effort by global warming activists.,"Claims(a, b, c),  IsGlobalWarmingActivist(a),  IsWarmestYearOnRecord(c)","Predicted(d, e),  IsPublicRelationsEffort(e),  IsGlobalWarmingActivist(a)",[],"[(' Global warming activists', ' global warming activists')]",[],"IsGlobalWarmingActivist(a) and Claims(a, b, c) and IsWarmestYearOnRecord(c)","Predicted(d, e) and IsPublicRelationsEffort(e) and IsGlobalWarmingActivist(a)","(IsGlobalWarmingActivist(a) and Claims(a, b, c) and IsWarmestYearOnRecord(c)) -> (Predicted(d, e) and IsPublicRelationsEffort(e) and IsGlobalWarmingActivist(a))","(exists a (exists c (exists b (IsGlobalWarmingActivist(a) and Claims(a, b, c) and IsWarmestYearOnRecord(c))))) -> (exists a (exists e (exists d (Predicted(d, e) and IsPublicRelationsEffort(e) and IsGlobalWarmingActivist(a)))))"
fallacy of extension,0,"Global warming alarmism provides them , more than any other issue , with the things they
most want : For politicians it ’ s money and power . For environmentalists it ’ s money for their
organizations and confirmation of their near religious devotion to the idea that man is a
destructive force acting upon nature . And for the media it ’ s ideology , money , and headlines ."," Global warming alarmism provides politicians with money and power, environmentalists with money and confirmation of their beliefs, and the media with ideology, money, and headlines."," Global warming alarmism benefits politicians, environmentalists, and the media.","ProvidesTo(a, b, e),  ProvidesTo(a, b, f),  ProvidesTo(a, c, e),  ProvidesTo(a, c, g),  ProvidesTo(a, d, h),  ProvidesTo(a, d, e),  ProvidesTo(a, d, i)","Benefits(a, b),  Benefits(a, c),  Benefits(a, d)",[],"[(' Global warming alarmism', ' Global warming alarmism'), (' politicians', ' politicians'), (' environmentalists', ' environmentalists'), (' media', ' the media')]","[(' ideology', ' Global warming alarmism'), (' headlines', ' the media')]","ProvidesTo(a, b, e) and ProvidesTo(a, b, f) and ProvidesTo(a, c, e) and ProvidesTo(a, c, g) and ProvidesTo(a, d, h) and ProvidesTo(a, d, e) and ProvidesTo(a, d, i)","Benefits(a, b) and Benefits(a, c) and Benefits(a, d)","(exists i (exists h (ProvidesTo(a, b, e) and ProvidesTo(a, b, f) and ProvidesTo(a, c, e) and ProvidesTo(a, c, g) and ProvidesTo(a, d, h) and ProvidesTo(a, d, e) and ProvidesTo(a, d, i)))) -> (forall d (forall a (Benefits(a, b) and Benefits(a, c) and Benefits(a, d))))","(exists a (exists i (exists f (exists g (exists h (exists b (exists c (exists e (exists d (ProvidesTo(a, b, e) and ProvidesTo(a, b, f) and ProvidesTo(a, c, e) and ProvidesTo(a, c, g) and ProvidesTo(a, d, h) and ProvidesTo(a, d, e) and ProvidesTo(a, d, i))))))))))) -> (exists a (exists d (exists c (exists b (Benefits(a, b) and Benefits(a, c) and Benefits(a, d))))))"
fallacy of logic,0,"As long as the ice-water mix is well-stirred ( like a glass of ice water ) , the surface temperature stays at the freezing point until all the ice melts .", The surface temperature stays at the freezing point until all the ice melts if the ice-water mix is well-stirred.  , The surface temperature of a well-stirred ice-water mix stays at the freezing point until all the ice melts.,"StaysAtFreezingPoint(a),  Melts(c),  IsWellStirred(c)","StaysAtFreezingPoint(a),  IsWellStirred(d),  Melts(c)",[],"[(' Surface temperature', ' Surface temperature'), (' freezing point', ' freezing point'), (' ice', ' ice'), (' ice', ' ice-water mix')]","[(' freezing point', ' well-stirred ice-water mix'), (' ice', ' well-stirred ice-water mix'), (' ice-water mix', ' well-stirred ice-water mix')]",IsWellStirred(c) and (StaysAtFreezingPoint(a) and Melts(c)),IsWellStirred(d) and Melts(c) and StaysAtFreezingPoint(a),(exists c (IsWellStirred(c) and (StaysAtFreezingPoint(a) and Melts(c)))) -> (forall d (IsWellStirred(d) and Melts(c) and StaysAtFreezingPoint(a))),(exists c (exists a (IsWellStirred(c) and (StaysAtFreezingPoint(a) and Melts(c))))) -> (exists c (exists d (exists a (IsWellStirred(d) and Melts(c) and StaysAtFreezingPoint(a)))))
faulty generalization,0,The sea has crept up to the point that a high tide and a brisk wind are all it takes to send water pouring into streets and homes ., The sea has crept up to the point that a high tide and a brisk wind are all it takes to send water pouring into streets and homes., Streets and homes get flooded easily.,"HasCreptUp(c),  CausesHighTide(d, f),  CausesBriskWind(e, f),  PoursIntoStreets(f, a),  PoursIntoHomes(f, b)","GetsFlooded(a),  GetsFlooded(b),  EasilyFlooded(a),  EasilyFlooded(b)",[],"[(' streets', ' Streets'), (' homes', ' homes')]",[],"HasCreptUp(c) and (CausesHighTide(d, f) and CausesBriskWind(e, f)) and (PoursIntoStreets(f, a) and PoursIntoHomes(f, b))",GetsFlooded(a) and GetsFlooded(b) and EasilyFlooded(a) and EasilyFlooded(b),"(HasCreptUp(c) and (CausesHighTide(d, f) and CausesBriskWind(e, f)) and (PoursIntoStreets(f, a) and PoursIntoHomes(f, b))) -> (GetsFlooded(a) and GetsFlooded(b) and EasilyFlooded(a) and EasilyFlooded(b))","(exists a (exists d (exists f (exists b (exists c (exists e (HasCreptUp(c) and (CausesHighTide(d, f) and CausesBriskWind(e, f)) and (PoursIntoStreets(f, a) and PoursIntoHomes(f, b))))))))) -> (exists a (exists b (GetsFlooded(a) and GetsFlooded(b) and EasilyFlooded(a) and EasilyFlooded(b))))"
intentional,0,The international team onboard the Russian research ship R/V Akademik Keldysh said most of the bubbles were currently dissolving in the water but methane levels at the surface were four to eight times what would normally be expected and this was venting into the atmosphere ., Most of the methane bubbles are dissolving in the water., Methane levels at the surface are significantly higher than normal.,"IsDissolvingIn(a, b)","IsAtSurface(c),  IsHigherThanNormal(c)",[],[],[],"IsDissolvingIn(a, b)",IsAtSurface(c) and IsHigherThanNormal(c),"(IsDissolvingIn(a, b)) -> (IsAtSurface(c) and IsHigherThanNormal(c))","(exists a (exists b (IsDissolvingIn(a, b)))) -> (exists c (IsAtSurface(c) and IsHigherThanNormal(c)))"
intentional,0,"While it 's too soon to say precisely how global warming may have affected the rare confluence of events that conspired to dump at least 26.88 inches of rain in less than four days on South Carolina , changes in extreme precipitation events are one of global warming 's most well-documented climate change impacts .", Changes in extreme precipitation events are one of global warming's most well-documented climate change impacts., Global warming affected the rare confluence of events that caused heavy rain in South Carolina.,"AreCausedBy(a,b),  AreWellDocumented(c)","Affected(a,d),  Caused(e,d)",[],"[(' global warming', ' Global warming')]","[(' Extreme precipitation events', ' heavy rain'), (' climate change impacts', ' Global warming'), (' climate change impacts', ' heavy rain')]","(AreCausedBy(a,b) and AreWellDocumented(c))","Affected(a,d) and Caused(e,d)","(exists c (exists b ((AreCausedBy(a,b) and AreWellDocumented(c))))) -> (forall a (forall e (Affected(a,d) and Caused(e,d))))","(exists a (exists c (exists b ((AreCausedBy(a,b) and AreWellDocumented(c)))))) -> (exists a (exists e (exists d (Affected(a,d) and Caused(e,d)))))"
